Chapter No,Verse No,Shloka,English Translation,Explanation,filter_expl
4,41,योगसंन्यस्तकर्माणं ज्ञानसञ्छिन्नसंशयम् | आत्मवन्तं न कर्माणि निबध्नन्ति धनञ्जय ॥41॥,"O Dhananjaya (Arjuna), actions do not bind one who has renounced actions through yoga, whose doubt has been fully dispelled by Knowledge, and who is not inadvertent.","Karm is actions involved in prescribed rituals and social duties, sanyās means “to renounce,” while “yog” means “to unite with God.” Here, Shree Krishna has used the word yogasanyasta karmāṇaṁ, referring to “those who renounce all ritualistic karm, dedicating their body, mind, and soul to God.” Such persons do their every action as a service to God. Shree Krishna says that their work performed in devotion do not bind them.Only those actions bind one in karma, which are performed to fulfill one’s self-interest. When work is done only for the pleasure of God, such action becomes free from all karmic reaction. They are like multiplying numbers with 0 (zero). If we multiply 0 with 10, the result will be 0; if we multiply 0 with 1000, the result will remain 0; and if we multiply 0 with 1 million, the result will still be 0. Similarly, the works that enlightened souls perform in the world do not bind them, because they are offered to God in the fire of Yog, i.e. they are done for the pleasure of God. Thus, although doing all kinds of works, the Saints remain unfettered from the bonds of karma.",karm actions involved prescribed rituals social duties sanyās means renounce yog means unite god here shree krishna used word yogasanyasta karmāṇaṁ referring renounce ritualistic karm dedicating body mind soul god such persons every action service god shree krishna says work performed devotion not bind themonly actions bind one karma performed fulfill one selfinterest when work done pleasure god action becomes free karmic reaction they like multiplying numbers zero if multiply result multiply result remain multiply million result still similarly works enlightened souls perform world not bind offered god fire yog ie done pleasure god thus although kinds works saints remain unfettered bonds karma
4,42,तस्मादज्ञानसम्भूतं हृत्स्थं ज्ञानासिनात्मन: | छित्त्वैनं संशयं योगमातिष्ठोत्तिष्ठ भारत ॥42॥,"Therefore, O scion of the Bharata dyasty, take recourse to yoga and rise up, cutting asunder with the sword of Knowledge this doubt of your own in the heart, arising from ignorance.","The use of the word heart does not imply the physical machine housed in the chest that pumps blood in the body. The Vedas state that one’s physical brain resides in the head, but the subtle mind resides in the region of the heart. That is the reason why in love and hatred one experiences pain in the heart. In this sense, the heart is the source of compassion, love, sympathy, and all the good emotions. So when Shree Krishna mentions doubts that have arisen in the heart, he means doubts that have arisen in the mind, which is the subtle machine that resides in the region of the heart.In the role of being the Spiritual Master of Arjun, the Lord has imparted to his disciple the knowledge of how to gain insightful wisdom from the practice of karm yog. He now advises Arjun to utilize both wisdom and faith to cleave out the doubts from his mind. Then, he gives the call of action and asks Arjun to rise up and do his duty in the spirit of karm yog. The dual instructions to both refrain from action and to engage in action still create confusion in Arjun’s mind, which he reveals in the opening of the next chapter.",the use word heart not imply physical machine housed chest pumps blood body the vedas state one physical brain resides head subtle mind resides region heart that reason love hatred one experiences pain heart in sense heart source compassion love sympathy good emotions so shree krishna mentions doubts arisen heart means doubts arisen mind subtle machine resides region heartin role spiritual master arjun lord imparted disciple knowledge gain insightful wisdom practice karm yog he advises arjun utilize wisdom faith cleave doubts mind then gives call action asks arjun rise duty spirit karm yog the dual instructions refrain action engage action still create confusion arjun mind reveals opening next chapter
5,1,अर्जुन उवाच | संन्यासं कर्मणां कृष्ण पुनर्योगं च शंससि | यच्छ्रेय एतयोरेकं तन्मे ब्रूहि सुनिश्चितम् ॥1॥,"Arjuna said: O Krsna, You praise renunciation of actions, and again, (Karma-) yoga. Tell me for certain that one which is better between these two.","This is the fifth of Arjun’s sixteen questions.  Shree Krishna praised both the renunciation of works and work with devotion.  Arjun is confused by these apparently equivocal instructions and wishes to understand which of the two is more auspicious for him.  Let us review the context of the question.The first chapter described the nature of Arjun’s grief and created the setting for Shree Krishna to begin to relate spiritual knowledge to him.  In the second chapter, Shree Krishna revealed to Arjun the science of the self and explained that since the soul is immortal, nobody would die in the war, and hence it was foolish to lament.  He then reminded Arjun that his karm (social duty) as a warrior was to fight the war on the side of righteousness.  But, since karm binds one to the fruits of actions, Shree Krishna encouraged Arjun to dedicate the fruits of his works to God.  His actions would then become karm-yog, or “united with God through works.” In the third chapter, the Supreme Lord explained that performing one’s duties is necessary because it helps to purify the mind.  But He also said that a person who has already developed purity of mind is not obliged to perform any social duty (verse 3.17).  In the fourth chapter, the Lord explained the various kinds of sacrifices (works that can be done for the pleasure of God).  He concluded by saying that sacrifice performed in knowledge is better than mechanical ritualistic sacrifice.  He also said that all sacrifice ends in the knowledge of one’s relationship with God.  Finally, in verse 4.41, He introduced the principle of karm sanyās, in which ritualistic duties and social obligations are renounced and one engages in devotional service with the body, mind, and soul.  These instructions perplexed Arjun.  He thought that karm sanyās (renunciation of works) and karm-yog (work in devotion) have opposite natures, and it is not possible to perform both simultaneously.  Hence, he raises his doubt before Shree Krishna.",this fifth arjun sixteen questions shree krishna praised renunciation works work devotion arjun confused apparently equivocal instructions wishes understand two auspicious let us review context questionthe first chapter described nature arjun grief created setting shree krishna begin relate spiritual knowledge in second chapter shree krishna revealed arjun science self explained since soul immortal nobody would die war hence foolish lament he reminded arjun karm social duty warrior fight war side righteousness but since karm binds one fruits actions shree krishna encouraged arjun dedicate fruits works god his actions would become karmyog united god works in third chapter supreme lord explained performing one duties necessary helps purify mind but he also said person already developed purity mind not obliged perform social duty verse in fourth chapter lord explained various kinds sacrifices works done pleasure god he concluded saying sacrifice performed knowledge better mechanical ritualistic sacrifice he also said sacrifice ends knowledge one relationship god finally verse he introduced principle karm sanyās ritualistic duties social obligations renounced one engages devotional service body mind soul these instructions perplexed arjun he thought karm sanyās renunciation works karmyog work devotion opposite natures not possible perform simultaneously hence raises doubt shree krishna
5,2,श्रीभगवानुवाच | संन्यास: कर्मयोगश्च नि:श्रेयसकरावुभौ | तयोस्तु कर्मसंन्यासात्कर्मयोगो विशिष्यते ॥2॥,"The Blessed Lord said: Both renunciation of actions and Karma-yoga lead to Liberation. Between the two, Karma-yoga, however, excels over renunciation of actions.","In this verse, Shree Krishna compares karm sanyās and karm-yog.  It is a very deep verse; so let’s understand it one word at a time.A karm yogi is one who does both, spiritual and social, duties.  Social duties are done with the body while the mind is attached to God.  Jagadguru Kripaluji Maharaj states:sochu mana yaha karm mama saba lakhata hari guru pyāre   (Sādhan Bhakti Tattva) “Dear one!  Think always that all your actions are being observed by God and Guru.”  This is the sādhanā of karm-yog, by which we gradually elevate ourselves from bodily consciousness to spiritual consciousness. Karm sanyās is for elevated souls, who have already risen beyond the bodily platform.  A karm sanyāsī is one who discards social duties due to complete absorption in God, and engages entirely in the performance of spiritual duties (devotional service to God).  This sentiment of karm sanyās was nicely expressed by Lakshman, when Lord Ram asked him to fulfill his worldly duties:more sabai eka tumha swāmī, dīnabandhu ura antarayāmī   (Ramayan)Lakshman said to Ram, “You are my Master, Father, Mother, Friend, and everything.  I will only fulfill my duty toward You with all my might.  So please do not tell me about any of my bodily duties.”Those who practice karm sanyās do not consider themselves to be the body, and as a result, they do not feel obligated to discharge their bodily duties.  Such karm sanyāsīs dedicate their full time and energy to spirituality, while karm yogis have to split their time between worldly and spiritual duties.  The karm sanyāsīs can thus move much faster toward God, while the karm yogis are encumbered with social duties. However, in this verse, Shree Krishna extols karm-yog beyond karm sanyās and recommends it to Arjun as the preferred path.  This is because karm sanyāsīs are exposed to a danger.  If, having renounced their duties they cannot absorb their mind in God, they are left neither here nor there.  In India, there are tens of thousands of such sadhus, who felt they were detached, and thus, renounced the world, but their mind was not yet attached to God.  Consequently, they could not experience the divine bliss of the spiritual path.  And so, although wearing the saffron clothes of mendicants, they indulge in grossly sinful activities such as smoking opium.  Only the ignorant mistake their sloth as detachment from the world. On the other hand, karm yogis do both their worldly duties and spiritual practice.  So if their mind turns away from spirituality, at least they have their work to fall back upon.  Karm-yog is thus the safer path for majority of the people, while karm sanyās is only to be pursued under the expert guidance of a Guru.",in verse shree krishna compares karm sanyās karmyog it deep verse let understand one word timea karm yogi one spiritual social duties social duties done body mind attached god jagadguru kripaluji maharaj states sochu mana yaha karm mama saba lakhata hari guru pyāre sādhan bhakti tattva dear one think always actions observed god guru this sādhanā karmyog gradually elevate bodily consciousness spiritual consciousness karm sanyās elevated souls already risen beyond bodily platform a karm sanyāsī one discards social duties due complete absorption god engages entirely performance spiritual duties devotional service god this sentiment karm sanyās nicely expressed lakshman lord ram asked fulfill worldly duties sabai eka tumha swāmī dīnabandhu ura antarayāmī ramayan lakshman said ram you master father mother friend everything i fulfill duty toward you might so please not tell bodily duties those practice karm sanyās not consider body result not feel obligated discharge bodily duties such karm sanyāsīs dedicate full time energy spirituality karm yogis split time worldly spiritual duties the karm sanyāsīs thus move much faster toward god karm yogis encumbered social duties however verse shree krishna extols karmyog beyond karm sanyās recommends arjun preferred path this karm sanyāsīs exposed danger if renounced duties not absorb mind god left neither in india tens thousands sadhus felt detached thus renounced world mind not yet attached god consequently could not experience divine bliss spiritual path and although wearing saffron clothes mendicants indulge grossly sinful activities smoking opium only ignorant mistake sloth detachment world on hand karm yogis worldly duties spiritual practice so mind turns away spirituality least work fall back upon karmyog thus safer path majority people karm sanyās pursued expert guidance guru
5,3,ज्ञेय: स नित्यसंन्यासी यो न द्वेष्टि न काङ् क्षति | निर्द्वन्द्वो हि महाबाहो सुखं बन्धात्प्रमुच्यते ॥3॥,He who does not hate and does not crave should be known as a man of constant renunciation.,"Karm yogis continue to discharge their worldly duties while internally practicing detachment.  Hence, they accept both positive and negative outcomes with equanimity, as the grace of God.  The Lord has designed this world so beautifully that it makes us experience both happiness and distress for our gradual elevation.  If we continue to lead our regular lives and tolerate whatever comes our way, while happily doing our duty, the world naturally pushes us toward gradual spiritual elevation.  There is a sweet story that illustrates this concept.  There was once a piece of wood.  It went to a sculptor and said, “Can you please make me beautiful?”  The sculptor said, “I am ready to do that.  But are you ready for it?”  The wood replied, “Yes, I am also ready.”  The sculptor took out his tools and began hammering and chiseling.  The wood screamed, “What are you doing?  Please stop!  This is so painful.”  The sculptor replied wisely, “If you wish to become beautiful, you will have to bear the pain.”  “All right,” said the wood, “Go ahead and do it.  But please be gentle and considerate.”  The sculptor continued his work again.  The wood kept screaming, “Enough for today; I can’t bear it any further.  Please do it tomorrow.”  The sculptor was undeterred in his task, and in a few days, the wood was transformed into a beautiful deity, fit to sit on the altar of the temple. In the same way, our hearts are rough and unfinished because of endless lifetimes of attachment in the world.  If we wish to become internally beautiful, we must be willing to tolerate pain and let the world do its job of purifying us.  So karm yogis work with devotion, are equipoised in the results, and practice attaching their mind to God.",karm yogis continue discharge worldly duties internally practicing detachment hence accept positive negative outcomes equanimity grace god the lord designed world beautifully makes us experience happiness distress gradual elevation if continue lead regular lives tolerate whatever comes way happily duty world naturally pushes us toward gradual spiritual elevation there sweet story illustrates concept there piece wood it went sculptor said can please make beautiful the sculptor said i ready but ready the wood replied yes i also ready the sculptor took tools began hammering chiseling the wood screamed what please stop this painful the sculptor replied wisely if wish become beautiful bear pain all right said wood go ahead but please gentle considerate the sculptor continued work the wood kept screaming enough today i bear please tomorrow the sculptor undeterred task days wood transformed beautiful deity fit sit altar temple in way hearts rough unfinished endless lifetimes attachment world if wish become internally beautiful must willing tolerate pain let world job purifying us so karm yogis work devotion equipoised results practice attaching mind god
5,4,साङ्ख्ययोगौ पृथग्बाला: प्रवदन्ति न पण्डिता: | एकमप्यास्थित: सम्यगुभयोर्विन्दते फलम् ॥4॥,"The fools, not the learned ones, speak of Sankhya (the path of Knowledge) and (Karma-) yoga as different. Anyone who properly resorts to even one (of them) gets the result of both.","Here, Shree Krishna uses the word sānkhya to refer to karm sanyās, or the renunciation of actions with the cultivation of knowledge.  It is important to understand here that renunciation is of two kinds:  phalgu vairāgya and yukt vairāgya.  Phalgu vairāgya is where people look upon the world as cumbersome, and renounce it with the desire of getting rid of responsibilities and hardships.  Such phalgu vairāgya is an escapist attitude and is unstable.  The renunciation of such persons is motivated by the desire to run away from difficulties.  When such persons encounter difficulties on the spiritual path, they become detached from there as well, and desire to run back to worldly life.  Yukt vairāgya is where people see the whole world as the energy of God.  They do not see what they possess as belonging to them, and do not wish to enjoy it for themselves.  Instead, they are motivated by the desire to serve God with whatever He has given to them.  Yukt vairāgya is stable and undeterred by difficulties.The karm yogis, while conducting their daily duties externally, develop the sentiment of yukt vairāgya, or stable renunciation.  They see themselves as the servants and God as the enjoyer, and hence they become fixed in the consciousness of doing everything for His pleasure.  Thus, their internal state becomes the same as that of the karm sanyāsīs, who are completely absorbed in divine consciousness.  Externally, they may appear to be worldly people, but internally they are no less than sanyāsīs. The Puranas and Itihās relate the examples of great kings in Indian history, who, though externally discharging their kingly duties with diligence and living in royal opulence, were mentally completely absorbed in God-consciousness.  Prahlad, Dhruv, Ambarish, Prithu, Vibheeshan, Yudhishthir, etc. were all such exemplary karm yogis.  The Shreemad Bhagavatam states: gṛihītvāpīndriyair arthān yo na dveṣhṭi na hṛiṣhyativiṣhṇor māyām idaṁ paśhyan sa vai bhāgavatottamaḥ   (11.2.48)“One who accepts the objects of the senses, neither yearning for them nor running away from them, in the divine consciousness that everything is the energy of God and is to be used in His service, such a person is the highest devotee.”  Thus, the truly learned see no difference between karm-yog and karm sanyās.  By following one of them, the results of both are achieved.",here shree krishna uses word sānkhya refer karm sanyās renunciation actions cultivation knowledge it important understand renunciation two kinds phalgu vairāgya yukt vairāgya phalgu vairāgya people look upon world cumbersome renounce desire getting rid responsibilities hardships such phalgu vairāgya escapist attitude unstable the renunciation persons motivated desire run away difficulties when persons encounter difficulties spiritual path become detached well desire run back worldly life yukt vairāgya people see whole world energy god they not see possess belonging not wish enjoy instead motivated desire serve god whatever he given yukt vairāgya stable undeterred difficultiesthe karm yogis conducting daily duties externally develop sentiment yukt vairāgya stable renunciation they see servants god enjoyer hence become fixed consciousness everything his pleasure thus internal state becomes karm sanyāsīs completely absorbed divine consciousness externally may appear worldly people internally less sanyāsīs the puranas itihās relate examples great kings indian history though externally discharging kingly duties diligence living royal opulence mentally completely absorbed godconsciousness prahlad dhruv ambarish prithu vibheeshan yudhishthir etc exemplary karm yogis the shreemad bhagavatam states gṛihītvāpīndriyair arthān yo na dveṣhṭi na hṛiṣhyativiṣhṇor māyām idaṁ paśhyan sa vai bhāgavatottamaḥ one accepts objects senses neither yearning running away divine consciousness everything energy god used his service person highest devotee thus truly learned see difference karmyog karm sanyās by following one results achieved
5,5,यत्साङ्ख्यै: प्राप्यते स्थानं तद्योगैरपि गम्यते | एकं साङ्ख्यं च योगं च य: पश्यति स पश्यति ॥5॥,"The State [Sthana (State) is used in the derivative sense of 'the place in which one remains established, and from which one does not become relegated'.] that is reached by the Sankhyas, that is reached by the yogis as well. He sees who sees Sankhya and yoga as one.","In spiritual practice, the intention of the mind is what matters, not the external activities.  One may be living in the holy land of Vrindavan, but if the mind contemplates on eating rasgullās in Kolkata, one will be deemed to be living in Kolkata.  Conversely, if a person lives amidst the hubbub of Kolkata and keeps the mind absorbed in the divine land of Vrindavan, he will get the benefit of residing there.  All the Vedic scriptures state that our level of consciousness is determined by the state of our mind:mana eva manuṣhyāṇāṁ kāraṇaṁ bandha mokṣhayoḥ(Pañchadaśhī)“The mind is the cause of bondage, and the mind is the cause of liberation.”  Jagadguru Shree Kripaluji Maharaj states the same principle:bandhan aur mokṣha kā, kāraṇ manahi bakhānyāte kauniu bhakti karu, karu mana te haridhyān(Bhakti Śhatak verse 19)“Bondage and liberation depend upon the state of the mind.  Whatever form of devotion you choose to do, keep the mind engaged in meditation upon God.”Those who do not possess this spiritual vision see the external distinction between a karm sanyāsī and a karm yogi, and declare the karm sanyāsī to be superior because of the external renunciation.  But those who are learned see that both the karm sanyāsī and the karm yogi have absorbed their minds in God, and so they are both identical in their internal consciousness.",in spiritual practice intention mind matters not external activities one may living holy land vrindavan mind contemplates eating rasgullās kolkata one deemed living kolkata conversely person lives amidst hubbub kolkata keeps mind absorbed divine land vrindavan get benefit residing all vedic scriptures state level consciousness determined state mind mana eva manuṣhyāṇāṁ kāraṇaṁ bandha mokṣhayoḥ pañchadaśhī the mind cause bondage mind cause liberation jagadguru shree kripaluji maharaj states principle bandhan aur mokṣha kā kāraṇ manahi bakhānyāte kauniu bhakti karu karu mana te haridhyān bhakti śhatak verse bondage liberation depend upon state mind whatever form devotion choose keep mind engaged meditation upon god those not possess spiritual vision see external distinction karm sanyāsī karm yogi declare karm sanyāsī superior external renunciation but learned see karm sanyāsī karm yogi absorbed minds god identical internal consciousness
5,6,संन्यासस्तु महाबाहो दु:खमाप्तुमयोगत: | योगयुक्तो मुनिर्ब्रह्म नचिरेणाधिगच्छति ॥6॥,"But, O mighty-armed one, renunciation is hard to attain without (Karma-) yoga. The meditative man equipped with yoga attains Brahman without delay.","Living in a cave in the Himalayas, a yogi may feel that he has renounced, but the test of that renunciation comes when he returns to the city.  For instance, one sadhu practiced austerities for twelve years in the mountains of Garhwal.  He came down to Haridwar to participate in the holy fair called Kumbh Melā.  In the hustle and bustle of the fair, someone accidentally placed his shoe on the sadhu’s bare foot.  The sadhu  was infuriated, and screamed, “Are you blind?  Can you not see where you are going?”  Later he repented for permitting anger to overcome him, and lamented, “Twelve years of austerities in the mountains got washed away by living one day in the city!”  The world is the arena where our renunciation gets tested.In this verse, Shree Krishna says that while performing one’s duties in the world, a person should slowly learn to rise above anger, greed, and desire.  Instead, if one first gives up duties, it is very difficult to purify the mind; and without a pure mind, true detachment remains a distant dream. We are all propelled to work by our nature.  Arjun was a warrior, and if he had artificially renounced his duty, to retire to the forest, his nature would make him work there as well.  He would probably gather a few tribesmen and declare himself their king.  Instead, it would be more fruitful to use his natural inclinations and talents in the service of God.  So the Lord instructs him, “Continue to fight, but make one change.  At first, you came to this battleground on the presumption of saving a kingdom.  Now, instead, simply dedicate your service unselfishly to God.  In this way, you will naturally purify the mind and achieve true renunciation from within.” A tender and unripe fruit clings fast to the tree that bears and nourishes it.  But the same fruit, when fully ripe, severs its connection from its sustainer.  Similarly from the material existence, the karm yogi gets the experience that matures into wisdom.  Just as sound sleep is only possible for those who have worked hard, deep meditation comes to those who have purified their minds through karm-yog.",living cave himalayas yogi may feel renounced test renunciation comes returns city for instance one sadhu practiced austerities twelve years mountains garhwal he came haridwar participate holy fair called kumbh melā in hustle bustle fair someone accidentally placed shoe sadhu bare foot the sadhu infuriated screamed are blind can not see going later repented permitting anger overcome lamented twelve years austerities mountains got washed away living one day city the world arena renunciation gets testedin verse shree krishna says performing one duties world person slowly learn rise anger greed desire instead one first gives duties difficult purify mind without pure mind true detachment remains distant dream we propelled work nature arjun warrior artificially renounced duty retire forest nature would make work well he would probably gather tribesmen declare king instead would fruitful use natural inclinations talents service god so lord instructs continue fight make one change at first came battleground presumption saving kingdom now instead simply dedicate service unselfishly god in way naturally purify mind achieve true renunciation within a tender unripe fruit clings fast tree bears nourishes but fruit fully ripe severs connection sustainer similarly material existence karm yogi gets experience matures wisdom just sound sleep possible worked hard deep meditation comes purified minds karmyog
5,7,योगयुक्तो विशुद्धात्मा विजितात्मा जितेन्द्रिय: | सर्वभूतात्मभूतात्मा कुर्वन्नपि न लिप्यते ॥7॥,"Endowed with yoga, [i.e. devoted to the performance of the nitya and naimittika duties.] pure in mind, controlled in body, a conqueror of the organs, the Self of the selves of all beings-he does not become tainted even while performing actions. [The construction of the sentence is this: When this person resorts to nitya and naimittika rites and duties as a means to the achievement of fully Illumination, and thus becomes fully enlightened, then, even when he acts through the apparent functions of the mind, organs, etc., he does not become affected.]","The word ātmā has been used in multiple ways in the Vedic literature: for God, for the soul, for the mind, and for the intellect.  This verse typifies all these uses.  Shree Krishna describes the karm yogi who is yog yukt (united in consciousness with God).  He says that such a noble soul is:  1) viśhuddhātmā, of purified intellect, 2) vijitātmā, who has conquered the mind, and 3) jitendriya, one who has controlled the senses.    Such karm yogis, with purified intellect, see God situated in all living beings, and behave respectfully toward everyone without attachment.  Since their actions are not motivated by the desire for self-enjoyment, their knowledge is progressively clarified.  As their desires are eliminated, the senses, mind, and intellect that were being propelled for sense pleasures come under control.  These instruments are now available for the service of the Lord.  Devotional service leads to realized knowledge from within.  In this way, karm-yog naturally brings about these successive stages of enlightenment, and hence is no different from karm sanyās.",the word ātmā used multiple ways vedic literature god soul mind intellect this verse typifies uses shree krishna describes karm yogi yog yukt united consciousness god he says noble soul viśhuddhātmā purified intellect vijitātmā conquered mind jitendriya one controlled senses such karm yogis purified intellect see god situated living beings behave respectfully toward everyone without attachment since actions not motivated desire selfenjoyment knowledge progressively clarified as desires eliminated senses mind intellect propelled sense pleasures come control these instruments available service lord devotional service leads realized knowledge within in way karmyog naturally brings successive stages enlightenment hence different karm sanyās
5,8,नैव किञ्चित्करोमीति युक्तो मन्येत तत्ववित् | पश्यञ्शृण्वन्स्पृशञ्जिघ्रन्नश्नन्गच्छन्स्वपञ्श्वसन् ॥8॥ प्रलपन्विसृजन्गृह्ण्न्नुन्मिषन्निमिषन्नपि | इन्द्रियाणीन्द्रियार्थेषु वर्तन्त इति धारयन् ॥9॥,"Remaining absorbed in the Self, the knower of Reality should think, 'I certainly do not do anything', even while seeing, hearing, touching, smelling, eating, moving, sleeping, breathing, speaking, releasing, holding, opening and closing the eyes-remembering that the organs function in relation to the objects of the organs.","Whenever we accomplish anything substantial, we are overcome with the pride that we have done something great.  The pride of being the doer of one’s actions is a stumbling block to rising beyond material consciousness.  However, the God-conscious karm yogis overcome this obstacle with ease.  With purified intellect, they see themselves as separate from the body, and hence they do not attribute their bodily actions to themselves.  The body is made from the material energy of God, and thus they attribute all their works as done by the power of God.  Since they have surrendered to the will of God, they depend upon Him to inspire their mind and intellect in accordance with His divine will.  So, they remain situated in the understanding that God is the doer of everything.  The Sage Vasishth advised Lord Ram:kartā bahirkartāntarloke vihara rāghava   (Yog Vāsiṣhṭh)“O Ram, externally engage in actions diligently, but internally practice to see yourself as the non-doer and God as the prime mover of all your activities.”  In this divine consciousness, the karm yogis see themselves as mere instruments in the hands of God.  Shree Krishna explains in the following verse the consequences of work done in this consciousness.",whenever accomplish anything substantial overcome pride done something great the pride doer one actions stumbling block rising beyond material consciousness however godconscious karm yogis overcome obstacle ease with purified intellect see separate body hence not attribute bodily actions the body made material energy god thus attribute works done power god since surrendered god depend upon him inspire mind intellect accordance his divine so remain situated understanding god doer everything the sage vasishth advised lord ram kartā bahirkartāntarloke vihara rāghava yog vāsiṣhṭh o ram externally engage actions diligently internally practice see nondoer god prime mover activities in divine consciousness karm yogis see mere instruments hands god shree krishna explains following verse consequences work done consciousness
5,9,नैव किञ्चित्करोमीति युक्तो मन्येत तत्ववित् | पश्यञ्शृण्वन्स्पृशञ्जिघ्रन्नश्नन्गच्छन्स्वपञ्श्वसन् ॥8॥ प्रलपन्विसृजन्गृह्ण्न्नुन्मिषन्निमिषन्नपि | इन्द्रियाणीन्द्रियार्थेषु वर्तन्त इति धारयन् ॥9॥,"Remaining absorbed in the Self, the knower of Reality should think, 'I certainly do not do anything', even while seeing, hearing, touching, smelling, eating, moving, sleeping, breathing, speaking, releasing, holding, opening and closing the eyes-remembering that the organs function in relation to the objects of the organs.","Whenever we accomplish anything substantial, we are overcome with the pride that we have done something great.  The pride of being the doer of one’s actions is a stumbling block to rising beyond material consciousness.  However, the God-conscious karm yogis overcome this obstacle with ease.  With purified intellect, they see themselves as separate from the body, and hence they do not attribute their bodily actions to themselves.  The body is made from the material energy of God, and thus they attribute all their works as done by the power of God.  Since they have surrendered to the will of God, they depend upon Him to inspire their mind and intellect in accordance with His divine will.  So, they remain situated in the understanding that God is the doer of everything.  The Sage Vasishth advised Lord Ram:kartā bahirkartāntarloke vihara rāghava   (Yog Vāsiṣhṭh)“O Ram, externally engage in actions diligently, but internally practice to see yourself as the non-doer and God as the prime mover of all your activities.”  In this divine consciousness, the karm yogis see themselves as mere instruments in the hands of God.  Shree Krishna explains in the following verse the consequences of work done in this consciousness.",whenever accomplish anything substantial overcome pride done something great the pride doer one actions stumbling block rising beyond material consciousness however godconscious karm yogis overcome obstacle ease with purified intellect see separate body hence not attribute bodily actions the body made material energy god thus attribute works done power god since surrendered god depend upon him inspire mind intellect accordance his divine so remain situated understanding god doer everything the sage vasishth advised lord ram kartā bahirkartāntarloke vihara rāghava yog vāsiṣhṭh o ram externally engage actions diligently internally practice see nondoer god prime mover activities in divine consciousness karm yogis see mere instruments hands god shree krishna explains following verse consequences work done consciousness
5,10,ब्रह्मण्याधाय कर्माणि सङ्गं त्यक्त्वा करोति य: | लिप्यते न स पापेन पद्मपत्रमिवाम्भसा ॥10॥,"One who acts by dedicating actions to Brahman and by renouncing attachment, he does not become polluted by sin, just as a lotus leaf is not by water.","Both Hindu and Buddhist scriptures abound with analogies of the lotus flower.  The word is used as a respectful appellation while describing various parts of God’s divine body.  Hence charaṇ-kamal means “lotus-like feet,” kamalekṣhaṇa means “lotus-like eyes,” kar-kamal means “lotus-like hands,” etc.Another word for the lotus flower is paṅkaj, which means “born from mud.”  The lotus flower grows from the mud found at the bottom of the lake, yet it rises above the water and blossoms toward the sun.  Thus, the lotus flower is often used in Sanskrit literature as an example of something that is born amidst the dirt, and rises above it while retaining its beautiful purity. Further, the lotus plant has large leaves that float atop the water surface of the lake.  Lotus leaves are used in Indian villages for plates, as they are waterproof, and liquid poured on them does not soak through, but runs off.  The beauty of the lotus leaf is that, although the lotus owes its birth, growth, and sustenance to the water, the leaf does not permit itself to be wetted.  Water poured on the lotus leaf runs off the side, due to the small hair growing on its surface. With the help of the beautiful analogy of the lotus leaf, Shree Krishna says that just as it floats atop the surface of the lake, but does not allow itself to be wetted by the water, similarly, the karm yogis remain untouched by sin, although performing all kinds of works, because they perform their works in divine consciousness.",both hindu buddhist scriptures abound analogies lotus flower the word used respectful appellation describing various parts god divine body hence charaṇkamal means lotuslike feet kamalekṣhaṇa means lotuslike eyes karkamal means lotuslike hands etcanother word lotus flower paṅkaj means born mud the lotus flower grows mud found bottom lake yet rises water blossoms toward sun thus lotus flower often used sanskrit literature example something born amidst dirt rises retaining beautiful purity further lotus plant large leaves float atop water surface lake lotus leaves used indian villages plates waterproof liquid poured not soak runs the beauty lotus leaf although lotus owes birth growth sustenance water leaf not permit wetted water poured lotus leaf runs side due small hair growing surface with help beautiful analogy lotus leaf shree krishna says floats atop surface lake not allow wetted water similarly karm yogis remain untouched sin although performing kinds works perform works divine consciousness
